1,27,0:0,1:0,1.89363:0.448799,2.65968:1.09159,3.25684:1.89371,3.65292:2.81193,3.82656:3.79673,3.76842:4.79504,3.48162:5.75303,2.98162:6.61906,2.29537:7.34643,1.45989:7.89594,0.520193:8.23796,-0.473045:8.35405,-1.46628:8.23796,-2.40598:7.89594,-3.24146:7.34643,-3.92771:6.61906,-4.42771:5.75303,-4.71451:4.79504,-4.77265:3.79673,-4.59901:2.81193,-4.20293:1.89371,-3.60577:1.09159,-2.83972:0.448799,-1.94609:1.75072e-16,-0.973045:-0.230616,-68.4,0,0
1,27,0:0,1:0,1.89363:0.448799,2.65968:1.09159,3.25684:1.89371,3.65292:2.81193,3.82656:3.79673,3.76842:4.79504,3.48162:5.75303,2.98162:6.61906,2.29537:7.34643,1.45989:7.89594,0.520193:8.23796,-0.473045:8.35405,-1.46628:8.23796,-2.40598:7.89594,-3.24146:7.34643,-3.92771:6.61906,-4.42771:5.75303,-4.71451:4.79504,-4.77265:3.79673,-4.59901:2.81193,-4.20293:1.89371,-3.60577:1.09159,-2.83972:0.448799,-1.94609:1.75072e-16,-0.973045:-0.230616,-68.4,0,0
1,27,0:0,1:0,1.89363:0.448799,2.65968:1.09159,3.25684:1.89371,3.65292:2.81193,3.82656:3.79673,3.76842:4.79504,3.48162:5.75303,2.98162:6.61906,2.29537:7.34643,1.45989:7.89594,0.520193:8.23796,-0.473045:8.35405,-1.46628:8.23796,-2.40598:7.89594,-3.24146:7.34643,-3.92771:6.61906,-4.42771:5.75303,-4.71451:4.79504,-4.77265:3.79673,-4.59901:2.81193,-4.20293:1.89371,-3.60577:1.09159,-2.83972:0.448799,-1.94609:1.75072e-16,-0.973045:-0.230616,-68.4,0,0
1,27,0:0,1:0,1.89363:0.448799,2.65968:1.09159,3.25684:1.89371,3.65292:2.81193,3.82656:3.79673,3.76842:4.79504,3.48162:5.75303,2.98162:6.61906,2.29537:7.34643,1.45989:7.89594,0.520193:8.23796,-0.473045:8.35405,-1.46628:8.23796,-2.40598:7.89594,-3.24146:7.34643,-3.92771:6.61906,-4.42771:5.75303,-4.71451:4.79504,-4.77265:3.79673,-4.59901:2.81193,-4.20293:1.89371,-3.60577:1.09159,-2.83972:0.448799,-1.94609:1.75072e-16,-0.973045:-0.230616,-68.4,0,0
1,27,0:0,1:0,1.89363:0.448799,2.65968:1.09159,3.25684:1.89371,3.65292:2.81193,3.82656:3.79673,3.76842:4.79504,3.48162:5.75303,2.98162:6.61906,2.29537:7.34643,1.45989:7.89594,0.520193:8.23796,-0.473045:8.35405,-1.46628:8.23796,-2.40598:7.89594,-3.24146:7.34643,-3.92771:6.61906,-4.42771:5.75303,-4.71451:4.79504,-4.77265:3.79673,-4.59901:2.81193,-4.20293:1.89371,-3.60577:1.09159,-2.83972:0.448799,-1.94609:1.75072e-16,-0.973045:-0.230616,-68.4,0,0
1,27,0:0,1:0,1.89363:0.448799,2.65968:1.09159,3.25684:1.89371,3.65292:2.81193,3.82656:3.79673,3.76842:4.79504,3.48162:5.75303,2.98162:6.61906,2.29537:7.34643,1.45989:7.89594,0.520193:8.23796,-0.473045:8.35405,-1.46628:8.23796,-2.40598:7.89594,-3.24146:7.34643,-3.92771:6.61906,-4.42771:5.75303,-4.71451:4.79504,-4.77265:3.79673,-4.59901:2.81193,-4.20293:1.89371,-3.60577:1.09159,-2.83972:0.448799,-1.94609:1.75072e-16,-0.973045:-0.230616,-68.4,0,0
1,27,0:0,1:0,1.89363:0.448799,2.65968:1.09159,3.25684:1.89371,3.65292:2.81193,3.82656:3.79673,3.76842:4.79504,3.48162:5.75303,2.98162:6.61906,2.29537:7.34643,1.45989:7.89594,0.520193:8.23796,-0.473045:8.35405,-1.46628:8.23796,-2.40598:7.89594,-3.24146:7.34643,-3.92771:6.61906,-4.42771:5.75303,-4.71451:4.79504,-4.77265:3.79673,-4.59901:2.81193,-4.20293:1.89371,-3.60577:1.09159,-2.83972:0.448799,-1.94609:1.75072e-16,-0.973045:-0.230616,-68.4,0,0
1,27,0:0,1:0,1.89363:0.448799,2.65968:1.09159,3.25684:1.89371,3.65292:2.81193,3.82656:3.79673,3.76842:4.79504,3.48162:5.75303,2.98162:6.61906,2.29537:7.34643,1.45989:7.89594,0.520193:8.23796,-0.473045:8.35405,-1.46628:8.23796,-2.40598:7.89594,-3.24146:7.34643,-3.92771:6.61906,-4.42771:5.75303,-4.71451:4.79504,-4.77265:3.79673,-4.59901:2.81193,-4.20293:1.89371,-3.60577:1.09159,-2.83972:0.448799,-1.94609:1.75072e-16,-0.973045:-0.230616,-68.4,0,0
1,27,0:0,1:0,1.89363:0.448799,2.65968:1.09159,3.25684:1.89371,3.65292:2.81193,3.82656:3.79673,3.76842:4.79504,3.48162:5.75303,2.98162:6.61906,2.29537:7.34643,1.45989:7.89594,0.520193:8.23796,-0.473045:8.35405,-1.46628:8.23796,-2.40598:7.89594,-3.24146:7.34643,-3.92771:6.61906,-4.42771:5.75303,-4.71451:4.79504,-4.77265:3.79673,-4.59901:2.81193,-4.20293:1.89371,-3.60577:1.09159,-2.83972:0.448799,-1.94609:1.75072e-16,-0.973045:-0.230616,-68.4,0,0
1,27,0:0,1:0,1.89363:0.448799,2.65968:1.09159,3.25684:1.89371,3.65292:2.81193,3.82656:3.79673,3.76842:4.79504,3.48162:5.75303,2.98162:6.61906,2.29537:7.34643,1.45989:7.89594,0.520193:8.23796,-0.473045:8.35405,-1.46628:8.23796,-2.40598:7.89594,-3.24146:7.34643,-3.92771:6.61906,-4.42771:5.75303,-4.71451:4.79504,-4.77265:3.79673,-4.59901:2.81193,-4.20293:1.89371,-3.60577:1.09159,-2.83972:0.448799,-1.94609:1.75072e-16,-0.973045:-0.230616,-68.4,0,0
