1,13,0:0,1:0,1.56806:0.822984,1.6886:1.81569,1.334:2.75071,0.585486:3.41383,-0.385456:3.65315,-1.3564:3.41383,-2.10491:2.75071,-2.45951:1.81569,-2.33898:0.822984,-1.77091:1.35645e-15,-0.885456:-0.464723,-27.8,0,0
1,13,0:0,1:0,1.56806:0.822984,1.6886:1.81569,1.334:2.75071,0.585486:3.41383,-0.385456:3.65315,-1.3564:3.41383,-2.10491:2.75071,-2.45951:1.81569,-2.33898:0.822984,-1.77091:1.35645e-15,-0.885456:-0.464723,-27.8,0,0
1,13,0:0,1:0,1.56806:0.822984,1.6886:1.81569,1.334:2.75071,0.585486:3.41383,-0.385456:3.65315,-1.3564:3.41383,-2.10491:2.75071,-2.45951:1.81569,-2.33898:0.822984,-1.77091:1.35645e-15,-0.885456:-0.464723,-27.8,0,0
1,13,0:0,1:0,1.56806:0.822984,1.6886:1.81569,1.334:2.75071,0.585486:3.41383,-0.385456:3.65315,-1.3564:3.41383,-2.10491:2.75071,-2.45951:1.81569,-2.33898:0.822984,-1.77091:1.35645e-15,-0.885456:-0.464723,-27.8,0,0
1,13,0:0,1:0,1.56806:0.822984,1.6886:1.81569,1.334:2.75071,0.585486:3.41383,-0.385456:3.65315,-1.3564:3.41383,-2.10491:2.75071,-2.45951:1.81569,-2.33898:0.822984,-1.77091:1.35645e-15,-0.885456:-0.464723,-27.8,0,0
1,13,0:0,1:0,1.56806:0.822984,1.6886:1.81569,1.334:2.75071,0.585486:3.41383,-0.385456:3.65315,-1.3564:3.41383,-2.10491:2.75071,-2.45951:1.81569,-2.33898:0.822984,-1.77091:1.35645e-15,-0.885456:-0.464723,-27.8,0,0
1,13,0:0,1:0,1.56806:0.822984,1.6886:1.81569,1.334:2.75071,0.585486:3.41383,-0.385456:3.65315,-1.3564:3.41383,-2.10491:2.75071,-2.45951:1.81569,-2.33898:0.822984,-1.77091:1.35645e-15,-0.885456:-0.464723,-27.8,0,0
1,13,0:0,1:0,1.56806:0.822984,1.6886:1.81569,1.334:2.75071,0.585486:3.41383,-0.385456:3.65315,-1.3564:3.41383,-2.10491:2.75071,-2.45951:1.81569,-2.33898:0.822984,-1.77091:1.35645e-15,-0.885456:-0.464723,-27.8,0,0
1,13,0:0,1:0,1.56806:0.822984,1.6886:1.81569,1.334:2.75071,0.585486:3.41383,-0.385456:3.65315,-1.3564:3.41383,-2.10491:2.75071,-2.45951:1.81569,-2.33898:0.822984,-1.77091:1.35645e-15,-0.885456:-0.464723,-27.8,0,0
1,13,0:0,1:0,1.56806:0.822984,1.6886:1.81569,1.334:2.75071,0.585486:3.41383,-0.385456:3.65315,-1.3564:3.41383,-2.10491:2.75071,-2.45951:1.81569,-2.33898:0.822984,-1.77091:1.35645e-15,-0.885456:-0.464723,-27.8,0,0
